time_stamp,user_id,user_logged_in,resolution_id,duration_on_page
2012-01-01 05:08:34,92800002,0,7,1.46
2012-01-01 07:05:58,10000601,1,3,14.01
2012-01-01 09:09:07,10000924,1,6,4.67
2012-01-01 09:26:40,92800005,0,3,7.47
2012-01-01 10:10:42,92800006,0,3,9.96
2012-01-01 12:15:00,10000979,1,2,4
2012-01-01 13:43:37,92800008,0,3,4.79
2012-01-01 15:23:23,92800009,0,9,1
2012-01-01 17:10:58,92800010,0,2,3.19
2012-01-01 19:36:55,10000970,1,5,5.14
2012-01-01 21:31:30,92800012,0,1,1.32
2012-01-01 21:49:40,10000339,1,7,0.42
2012-01-01 23:05:02,92800014,0,6,0.22
2012-01-02 00:38:54,92800015,0,3,1.16
2012-01-02 03:08:17,92800016,0,7,12.53
2012-01-02 05:02:04,92800017,0,8,11.57
2012-01-02 07:07:50,92800018,0,5,3.68
2012-01-02 07:13:33,92800019,0,1,1.58
2012-01-02 09:28:28,92800020,0,8,4.45
2012-01-02 10:15:08,92800021,0,6,0.35
2012-01-02 11:34:27,92800022,0,8,0.64
2012-01-02 12:14:04,92800023,0,8,7.12
2012-01-02 13:44:58,92800024,0,6,5.7
2012-01-02 14:01:47,92800025,0,3,6.46
2012-01-02 15:33:44,10000666,1,4,4.47
2012-01-02 15:56:22,92800027,0,6,6.57
2012-01-02 17:34:42,92800028,0,7,4.04
2012-01-02 18:16:47,92800029,0,4,2.87
2012-01-02 20:56:07,92800030,0,6,0.04
2012-01-02 21:38:25,92800031,0,6,0.45
2012-01-02 21:56:57,92800032,0,3,3.02
2012-01-02 22:24:14,92800033,0,5,2.29
2012-01-02 23:14:48,92800034,0,2,5.93
2012-01-03 00:29:43,10000562,1,3,0.01
2012-01-03 01:40:50,92800036,0,6,2.85
2012-01-03 01:49:22,92800037,0,6,1.22
2012-01-03 03:47:00,92800038,0,5,7.74
2012-01-03 05:14:43,92800039,0,4,2.26
2012-01-03 06:57:14,92800040,0,6,9.66
2012-01-03 09:11:33,92800041,0,7,9.61
2012-01-03 09:57:21,92800042,0,6,0.79
2012-01-03 11:25:43,10000513,1,4,5.55
2012-01-03 12:39:02,92800044,0,5,0.49
2012-01-03 13:17:09,92800045,0,3,4.96
2012-01-03 15:06:44,92800046,0,5,1.17
2012-01-03 16:34:58,92800047,0,6,4.25
2012-01-03 17:11:37,92800048,0,6,5.92
2012-01-03 17:40:38,92800049,0,3,10.86
2012-01-03 19:20:51,10000474,1,5,3.88
2012-01-03 19:53:23,92800051,0,8,0.94
2012-01-03 20:13:09,92800052,0,3,10.42
2012-01-03 22:07:21,10000533,1,7,8.87
2012-01-04 00:57:33,10000322,1,2,5.37
2012-01-04 01:04:40,92800055,0,6,4.25
2012-01-04 01:13:45,92800056,0,7,4.88
2012-01-04 01:44:38,92800057,0,8,3.71
2012-01-04 02:02:04,92800058,0,7,2.59
2012-01-04 04:17:04,92800059,0,9,4.24
2012-01-04 07:05:22,92800060,0,6,8.6
2012-01-04 08:57:22,92800061,0,1,4.88
2012-01-04 09:09:50,10000549,1,7,0.22
2012-01-04 10:06:25,92800063,0,3,5.33
2012-01-04 12:51:03,92800064,0,6,3.49
2012-01-04 14:05:47,92800065,0,6,2.25
2012-01-04 14:23:57,92800066,0,5,1.96
2012-01-04 15:22:43,92800067,0,9,5.84
2012-01-04 16:57:01,92800068,0,9,3.48
2012-01-04 18:41:01,92800069,0,6,3.8
2012-01-04 20:37:46,10000956,1,6,3
2012-01-04 22:00:32,10000940,1,3,6.13
2012-01-04 23:35:08,92800072,0,6,6.19
2012-01-05 01:47:55,92800073,0,6,4.15
2012-01-05 02:38:41,92800074,0,8,1.08
2012-01-05 04:05:00,10000165,1,7,2.61
2012-01-05 04:53:03,10000896,1,6,3.47
2012-01-05 05:02:59,10000850,1,6,10.96
2012-01-05 07:08:08,10000011,1,8,3.01
2012-01-05 08:27:24,92800079,0,6,1.78
2012-01-05 10:48:20,92800080,0,5,2.3
2012-01-05 11:50:27,10000380,1,2,2.87
2012-01-05 12:51:29,92800082,0,9,1.78
2012-01-05 13:28:25,10000672,1,5,4.23
2012-01-05 14:18:58,92800084,0,6,2.5
2012-01-05 16:34:54,92800085,0,7,9.8
2012-01-05 17:39:31,92800086,0,3,4.37
2012-01-05 18:40:10,92800087,0,7,1.04
2012-01-05 20:22:22,10000631,1,5,2.37
2012-01-05 20:54:29,92800089,0,2,4.22
2012-01-05 23:17:41,92800090,0,6,2.95
2012-01-05 23:39:55,92800091,0,4,3.82
2012-01-06 01:19:50,92800092,0,2,7.68
2012-01-06 03:35:28,92800093,0,7,3.3
2012-01-06 03:42:56,92800094,0,1,2.87
2012-01-06 04:49:56,92800095,0,5,4.97
2012-01-06 07:00:50,10000986,1,5,1.04
2012-01-06 07:03:02,92800097,0,6,0.64
2012-01-06 07:44:03,92800098,0,6,2.67
2012-01-06 09:52:15,92800099,0,2,11.83
2012-01-06 10:51:36,92800100,0,9,6.41
2012-01-06 11:46:20,92800101,0,3,3.33
2012-01-06 13:59:15,92800102,0,1,6.63
2012-01-06 15:23:03,10000014,1,9,4.28
2012-01-06 17:52:40,10000681,1,6,4.23
